beer_name,brewery,city,state,style,abv,date,notes,rating,serving_type,venue_name,venue_city,venue_state,venue_country,catalog_beer_id,venue_latitude,venue_longitude
Orville Smoked Helles,Living Haus Beer Co,Portland,OR,Smoked Helles,5.1,2026-02-28,Youtube Video: The Perfect Pi Hole Upgrade - Technitium Recursive DNS Server,2.75,can,,,,,,,
Caribbean Passion,Alvarado Street Brewing,Salinas,CA,Imperial Sour Ale,10.0,2026-02-18,Youtube Video: Nvidia DGX Spark as a Mini Desktop PC? - Featuring Dell Pro Max GB10,4.25,can,Alvarado Street Brewing,Salinas,CA,US,,36.6744117,-121.6550370
Hoppy Blonde,BJ's Brewhouse,Temple,TX,Kolsch-Style Ale,6.5,2026-01-31,Youtube Video: New Server (Node) Day - Expensive Upgrades for the Microcloud,4.5,can,,,,,,,
XPA the EXperimental IPA,Ninkasi Brewing,Eugene,OR,IPA,6.5,2026-01-27,Youtube Video: Run ANY Device You Own Through A VPN - VPN Gateway Tutorial 2026,3.0,crowler,,,,,,,
Megalodon,Ninkasi Brewing,Eugene,OR,Triple IPA,10.0,2026-01-15,Youtube Video: More X79 Microcloud Shenanigans - Proxmox Backup Server Install,4.25,cask,Foam & Froth,Hood River,OR,US,,45.5311636,-121.6475587
Beer Nerds,Mortalis Brewing,Avon,NY,,6.0,2026-01-06,Youtube Video: My favorite mouse got an upgrade! - Elecom Huge Plus,2.25,draft,,,,,,,
Percentage of Survival,Drekker Brewing,Fargo,ND,IPA,7.0,2025-12-23,Youtube Video: Installing Proxmox on my X79 Microcloud was beyond frustrating...,2.0,crowler,Drekker Brewing,Fargo,ND,US,,46.8763079,-96.8078928
Holy Ghost WCIPA,Boneyard Brewing,Portland,OR,West Coast IPA,6.66,2025-12-07,Youtube Video: The FASTEST Desktop GPU crammed into an Office PC - Dell Pro Max Tower T2 + RTX 6000 Pro Blackwell,3.75,growler,,,,,,,
Fresh Squeezed IPA,Deschutes Brewing,Bend,OR,"Fresh ""Wet"" Hop Ale",6.4,2025-11-25,Youtube Video: Is the Nvidia Tesla V100 still good for AI? - Inspur DGX V100 vs RTX 5090,3.5,can,The Ale House,Vancouver,WA,US,04cc69e9-8350-422c-bcb0-de19538df3a3,45.6306954,-122.6744557
Pirate Stout Rum-Barrel Aged,Santiam Brewing,Salem,OR,Stout,8.0,2025-11-09,Youtube Video: $399 For Eight Nodes - The Perfect Homelab Server???,1.25,can,,,,,,,
The Waldo's 2025 IPA,Lagunitas Brewing,Petaluma,CA,IPA,11.4,2025-10-10,Youtube Video: AMD Strix Halo Mini Workstation - Minisforum MS-S1 Max,4.0,can,,,,,,,
Hophoria IPA,Evasions Brewing,McMinnville,OR,IPA (Gluten Free),6.1,2025-09-26,Youtube Video: Automating My 3-2-1 Backups with TrueNAS and ZFS,3.0,can,Evasions Brewing,McMinnville,OR,US,,45.2100367,-123.1944630
Dead & Dead Oak Finished Dead Guy Ale,Rogue Ales and Spirits,Florence,OR,,9.5,2023-02-28,"Youtube Video: Server Rack Tour 2021 - Epyc Rome and Ice Lake, OH MY!",2.25,can,,,,,,,
1859 Maibock,Santiam Brewing,Salem,OR,Maibock,6.1,2025-09-06,Youtube Video: Dual GPU Gaming Is Back??? The Lossless Scaling Video,4.75,draft,,,,,,,
Orbital Plane,Triangulum Collab Series,,,West Coast IPA,8.0,2025-08-09,Youtube Video: 245TB SSDs and a 5.9 PETABYTE Enclosure - FMS 2025 Wrap-up,2.0,bottle,The Fermentation Lounge,Minneapolis,MN,US,,44.9772995,-93.2654692
Black Butte Porter,Deschutes Brewing,Bend,OR,Brown Porter,5.2,2025-08-04,Youtube Video: Do YOU Need a Threadripper? - Threadripper 9970X vs Ryzen 9950X3D,1.0,cask,Deschutes Brewing,Bend,OR,US,f0786487-955e-419d-85df-bebfc9637ad4,44.0581728,-121.3153096
Pretty Pretty Pretty Good IPA,Matchless Brewing,Tumwater,WA,IPA,6.8,2025-07-30,Youtube Video: One last attempt - NVIDIA RTX 4000 ADA SFF in a Minisforum MS-A2 - n3rdware Cooler,4.0,draft,,,,,,,
3-Way IPA 2025,Fort George Brewing,Astoria,OR,American-Style India Pale Ale,7,2025-07-26,Youtube Video: Proxmox CEPH Cluster Tutorial - I'm never going back!,3.25,growler,Fort George Brewing,Astoria,OR,US,fe9d5f91-2c14-40a0-abf9-bb7e7d6c6c4d,46.1908832,-123.8442254
Anytime Lemonade Shandy,Deschutes Brewing,Bend,OR,Shandy,5.0,2025-07-16,Youtube Video: An 8-Core Fanless Mini PC for your Homelab? - MINIX Z300,3.25,crowler,The Beerded Lady,Portland,OR,US,,45.5202471,-122.6741940
Rebellions are Built on Hops,Level Beer,Portland,OR,,6.7,2025-07-08,Youtube Video: Testing AMD's HX 370 in Proxmox - Acemagic F3A,1.25,bottle,,,,,,,
CHOMP CHOMP,The Brewing Project,Eau Claire,WI,Imperial Sour Ale,6.9,2025-06-11,Youtube Video: Creating a Linux Gaming VM with Bazzite - Cloud Gaming Server Tutorial,4.75,can,,,,,,,
Moon Man,New Glarus Brewing Co,New Glarus,WI,No-Coast Pale Ale,,2025-05-31,Youtube Video: The Best Made Better - Minisforum MS A2,5.0,can,,,,,6575af14-3b6a-49fe-babc-694c56461ced,,
RESIST,The Brewing Project,Eau Claire,WI,Milkshake IPA,8.7,2025-04-30,Youtube Video: Blazing Fast OLED Gaming Handheld - OneXPlayer F1 Pro Review,3.0,can,The Brewing Project,Eau Claire,WI,US,,44.8113490,-91.4984941
Mystery of the Flying Lotus,Brothers Cascadia Brewing,Vancouver,WA,Hazy IPA,6.5,2025-04-22,Youtube Video: I built this PC WRONG... Does it matter?,3.5,bottle,,,,,,,
Sticky Hands NWIPA,Block 15 Brewing,Corvallis,OR,Northwest IPA,8.1,2025-04-16,Youtube Video: The COOLEST Server Rack Accessory - 45Drives BEERINATOR,2.75,cask,Block 15 Brewing,Corvallis,OR,US,,44.5645659,-123.2620435
Bubble Stash IPA,Hop Valley,Bend,OR,IPA,,2025-03-29,Youtube Video: Modding a Status LCD into my ITX PC for CHEAP!,3.75,bottle,Hop Valley,Bend,OR,US,,44.0581728,-121.3153096
Coastal Evacuation,Cape May Brewing,Cape May,NJ,Imperial or Double India Pale Ale,8,2025-03-07,Youtube Video: Itty Bitty Living Space - RTX 5090 SFF Build and Test!,4.75,can,,,,,eb0f993e-1303-4a5e-9a64-0bc82b5f94fd,,
Sea Dragon IPA,Asbury Park Brewing,Asbury Park,NJ,IPA,7.0,2025-03-04,Youtube Video: Sticking an RTX 5070 into an old PC... Good Idea???,1.75,bottle,,,,,,,
Pirate Stout Rum Barrel Aged Coconut Stout,Santiam Brewing,Salem,OR,Stout,8.0,2025-02-24,Youtube Video: DIY Mini Steam Machine for $250! - Lenovo M720Q + RX 6400,2.75,draft,Brewski Bar,Bend,OR,US,,44.0581728,-121.3153096
Cosmic Little Thing IPA,Sierra Nevada,Chico,CA,Hazy Double IPA,8.0,2025-02-19,Youtube Video: Wasted Potential - RTX 5070 Ti Review,3.75,bottle,McGinty's Pub,Seattle,WA,US,,47.6038321,-122.3300620
Haze Ghost Coast to Coast,Silver Falls Brewing,Silverton,OR,,7.2,2025-02-05,"Youtube Video: The RTX 5080, Zotac Solid OC Overclocking, and the Paper Launch",5.0,growler,Silver Falls Brewery,Silverton,OR,US,,45.0045413,-122.7820600
Head High IPA,Kane Brewing Company,Ocean,NJ,American-Style India Pale Ale,6.5,2025-01-29,Youtube Video: Who was this for? - Piccolo by X+ G-Series1 Gaming Tablet,4.5,can,The Mash Tun,Denver,CO,US,208b3704-ffc2-470b-bafb-6082e2847bfa,39.7392364,-104.9848620
Pixelated Pale Ale,Level Beer,Portland,OR,Pale Ale,6.1,2025-01-25,Youtube Video: Introducing the SUPERCAR of the GPU World - Nvidia RTX 5090 Review,2.0,growler,,,,,,,
Straffe Hendrik Oak Aged Quadrupel Blend,Da Halve Moon,Bruges,Belgium,Quadrupel,11.0,2024-12-28,Youtube Video: The BEST AliExpress X99 Motherboard for Servers! - Cloud Star CS612 NAS Build,1.25,cask,,,,,,,
MechaRaven,Black Raven Brewing,Woodinville,WA,Double IPA,8.0,2024-12-15,Youtube Video: The Perfect Alternative to Windows AND SteamOS - Bazzite OS Review,5.0,can,Pint & Fork,Seattle,WA,US,,47.6038321,-122.3300620
Old Chico Wheat Ale,Sierra Nevada,Chico,CA,Wheat Ale,4.8,2024-12-03,Youtube Video: Cramming an RTX 4000 into the Minisforum MS-01! - N3rdware GPU Cooler Mod,3.5,cask,,,,,,,
Juice Dust IPA,Elysian Brewing,Seattle,WA,IPA,8.2,2024-11-27,Youtube Video: RTX 3080 Ti and 12700KF are still AWESOME in 2024,3.5,bottle,Elysian Brewing,Seattle,WA,US,,47.6139598,-122.3157647
Hawaiian Shirt Party,The Brewing Project,Eau Claire,WI,Imperial Sour Ale,7.4,2024-11-21,Youtube Video: The BEST Portable Monitor I've Reviewed Yet... AND THERE'S TWO!,3.5,draft,The Hop Yard,Buffalo,NY,US,,42.8864163,-78.8781493
Dare Mighty Things,The Brewing Project,Eau Claire,WI,Hazy IPA,6.1,2024-11-18,Youtube Video: UNLIMITED POWER! - Benchmarking Intel Xeon 6,2.5,can,,,,,,,
Bourbon Barrel Barleywine Ale,pFriem Brewing,Portland,OR,Barleywine,11.0,2024-11-06,Youtube Video: AMD's Worst Kept Secret - Ryzen 9800X3D Launch Review,3.75,growler,PFriem,Portland,OR,US,,45.5202471,-122.6741940
Dead & Dead,Rogue Ales and Spirits,Newport,OR,Wood- and Barrel-Aged Beer,7.9,2024-10-16,"Youtube Video: Same Scam, Different Day - Fake 4TB NVMe Drive",4.25,cask,Rogue Ales and Spirits,Newport,OR,US,81d40392-7e19-43b9-bb0f-5ecf31642309,44.6367550,-124.0534420
Trooper Original,Robinsons Brewery,Cheshire,England,,4.7,2024-10-14,Youtube Video: Running VMs in TrueNAS Scale - Should you run this instead of Proxmox?,2.75,can,Draft Republic,San Diego,CA,US,,33.1245356,-117.3243667
Pallet Trick IPA,Black Raven Brewing,Woodinville,WA,IPA,6.5,2024-09-27,Youtube Video: Intel Granite Rapids Xeon 6900P - Launch Details and Impressions,3.5,growler,McGinty's Pub,Seattle,WA,US,,47.6038321,-122.3300620
Rogue Berry Blonde,Rogue Ales and Spirits,Newport,OR,Blonde,4.7,2024-09-12,Youtube Video: The BEST Upgrade For Your Gaming Setup - Fractal Design Refine,2.5,cask,Craft Corner,Burlington,VT,US,,44.4761601,-73.2129060
Cosmic Little Thing Hazy Double IPA,Sierra Nevada,Chico,CA,Hazy Double IPA,8.0,2024-08-24,Youtube Video: 45Drives New 8-Bay HomeLab Server!,4.75,growler,Sierra Nevada,Chico,CA,US,,39.7225867,-121.8153467
Eagle Lake IPA,Lassen Aleworks,Susanville,CA,American-Style India Pale Ale,5.7,2024-08-22,Youtube Video: How fast is an RTX A5000? - Cloud Gaming Server Pt.22,1.75,draft,,,,,604370a8-5e83-4de7-89df-092ef5921c6b,,
Latte Praline,Beauregard Microbrew and Distillery,Montreal,QC Canada,,8.2,2024-08-17,Youtube Video: Asus Business WiFi devices... Worth a look?,4.25,draft,Beauregard Microbrew and Distillery,Montreal,QC,Canada,,45.5031824,-73.5698065
Black Butte Porter,Deschutes Brewing,Bend,OR,Brown Porter,5.2,2024-08-13,Youtube Video: Self-Hosted AI Image Generation - InvokeAI,4.25,draft,The Growler Station,Portland,OR,US,f0786487-955e-419d-85df-bebfc9637ad4,45.5202471,-122.6741940
The Prodigal Haze Part IV,Tree House Brewing,Charlton,MA,,9.0,2024-08-05,Youtube Video: TWELVE Hard Drives in a 1U Chassis! - Tyan GT86C Build and Review,2.5,growler,,,,,,,
Gaspesienne No. 13,Pit Caribou,Gaspe Peninsula,QC Canada,Robust Porter,,2024-07-27,,3.5,bottle,Pit Caribou,Gaspe Peninsula,QC,Canada,,48.6146774,-66.0665726
Real Sticky,Treehouse Brewing,Brimfield,MA,,7.4,2024-07-15,Youtube Video: Assembling SNMP Temperature Sensors and Answering Your Questions,5.0,can,The Beerded Lady,Portland,OR,US,,45.5202471,-122.6741940
I Got All These Numbers In My Head,Bellflower Brewing,Portland,ME,,,2024-06-28,Youtube Video: I'm so tired of this... Handheld Reviews and Crowdfunding,1.5,bottle,Bellflower Brewing,Portland,ME,US,,43.6573605,-70.2586618
Tiramisu Death,Iron Horse Brewing,Ellensburg,WA,,7.0,2024-06-22,Youtube Video: I switched to Linux 30 days ago... How did it go?,2.75,bottle,Iron Horse Brewery,Ellensburg,WA,US,,47.0008215,-120.5204659
Cookie Death,Iron Horse Brewing,Ellensburg,WA,Smooth Dark Ale,7.8,2024-06-18,Youtube Video: Gaming on NVIDIA Tesla GPUs - Part 2 - NVIDIA Pascal,4.75,cask,The Taproom,Portland,OR,US,,45.5226257,-122.6903512
Fair-Dinkum Australian Hazy IPA,Drop Bear Brewing,Eugene,OR,Hazy IPA,5.9,2024-06-12,Youtube Video: A BRAND NEW Console for my Server Rack,2.75,growler,,,,,,,
Wile Ryly IPA,Drop Bear Brewing,Eugene,OR,IPA,7.2,2024-05-13,Youtube Video: IT'S WORKING! - Asus ESC4000 G3 Custom Power Cables,4.75,bottle,Drop Bear Brewery,Eugene,OR,US,,44.0292606,-123.0910580
Belgian-Style Blonde Ale,pFriem Brewing,Portland,OR,Belgian Blonde,7.5,2024-05-01,Youtube Video: Is this STILL the Fastest SFF GPU??? - RTX 4060 Low-Profile Review,3.75,crowler,Pfriem Brewing,Portland,OR,US,,45.5202471,-122.6741940
South Pacific IPA,pFriem Brewing,Hood River,OR,IPA,6.8,2024-04-26,Youtube Video: FOUR GPUs in a 2U Box! - Asus ESC4000 G3,2.75,crowler,Pint & Fork,Seattle,WA,US,,47.6038321,-122.3300620
Hustle Imperial IPA,Fremont Brewing,Seattle,WA,Imperial IPA,9.0,2024-04-20,Youtube Video: External Graphics Cards are never worth it - ONEXGPU Review,4.75,draft,,,,,,,
Deuce Coupe IPA,Ratchet Brewing,Silverton,OR,IPA,6.8,2024-04-12,Youtube Video: Raptor Lake Mobile on an ITX Motherboard - 10729 13900H ES Review,5.0,can,,,,,,,
Charmed Life Irish Red Ale,Block 15 Brewing,Corvallis,OR,Irish Red Ale,5.0,2024-04-04,Youtube Video: Nvidia Tesla P100 vGPU Cloud Gaming Performance!,3.5,cask,,,,,,,
Winter Ale,pFriem Brewing,Hood River,OR,Winter Ale,7.5,2024-02-18,Youtube Video: Is the Minisforum MS-01 Worth It for Homelabs?,4.75,growler,,,,,,,
Game On IPA,Level Beer,Portland,OR,IPA,,2024-02-12,Youtube Video: This keyboard broke my brain,1.5,bottle,The Mash Tun,Denver,CO,US,,39.7392364,-104.9848620
Extra Pale,pFriem Brewing,Hood River,OR,Pale Ale,6.5,2024-02-05,Youtube Video: PART 2! - Proxmox on Intel's Hybrid Big Little - IT WORKS!,4.75,growler,,,,,,,
Like Yesterday 90s IPA,Silver Falls Brewing,Silverton,OR,IPA,7.4,2024-01-29,Youtube Video: Does Proxmox work with BIG/little CPUs? Testing Intel's Hybrid Chips in Virtualization!,4.0,bottle,Brewski Bar,Bend,OR,US,,44.0581728,-121.3153096
All Ways Down Hopburst Double IPA,10 Barrel Brewing,Bend,OR,Double IPA,9.0,2024-01-22,Youtube Video: The most DISAPPOINTING Mini PC I've Ever Reviewed - Khadas Mind,3.75,bottle,10 Barrel Brewing,Bend,OR,US,,44.0857141,-121.2810135
N/A IPA,10 Barrel Brewing,Bend,OR,IPA (Non-Alcoholic),0.5,2024-01-16,Youtube Video: FINALLY time to upgrade your 1080 or 2080??!? - nVidia RTX 4070 Super Review,1.75,crowler,,,,,,,
Las Pinas Barrel Aged Ale,pFriem Brewing,Portland,OR,,,2023-12-27,Youtube Video: This Tiny GPU Packs Some SERIOUS Power!!! - RTX 4000 Ada Generation SFF Review,1.5,cask,Suds & Grub,Corvallis,OR,US,,44.5645659,-123.2620435
Green Hundreds,Matchless Brewing,Tumwater,WA,,,2023-12-19,Youtube Video: Goodbye IPMI - Blicube BliKVM V4 Review,2.5,growler,,,,,,,
MEGA OBJECT Hazy Double IPA,Here Today Brewery & Kitchen,Seattle,WA,Hazy Double IPA,8.3,2023-12-03,Youtube Video: THIS is the NAS I've been waiting for! - IceWhale ZimaCube N100 Review,1.5,draft,,,,,,,
Fresh Hop Fiend,Stoup Brewing,Seattle,WA,Fresh Hop,,2023-11-27,Youtube Video: I bought a PC for $50. Let's upgrade it!,1.25,can,,,,,,,
Jubilale Festive Winter Ale,Deschutes Brewing,Bend,OR,Winter Ale,6.7,2023-11-22,Youtube Video: The 150-Watt 64-Core CPU - AMD Epyc 8534P,1.0,can,The Local,Eugene,OR,US,,44.0505054,-123.0950506
Proper Fence NZ Pilsner,Ex Novo Brewing,Portland,OR,NZ Pilsner,4.8,2020-07-22,Youtube Video: What to do with a Degraded ZFS Pool,3.25,cask,,,,,,,
Scotch Ale Barley Beer,The House Brewing Company,Charlton,MA,Scotch Ale,8.4,2023-11-08,Youtube Video: The 45Drives HomeLab Server Is Here!!!,3.75,growler,Sullivan's Taphouse,Portland,OR,US,,45.5202471,-122.6741940
Germinal IPA Americaine,Les Sans Tavern,Montreal,QC Canada,IPA,6.2,2023-10-27,Youtube Video: Shhh... there's a New Dark Rock Pro,3.0,cask,Les Sans Tavern,Montreal,QC,Canada,,45.5031824,-73.5698065
Neon Snowpocalypse,Rogue Ales and Spirits,Newport,OR,,8.2,2023-10-26,Youtube Video: A NEW AR GLASSES CHALLENGER??? - TCL NXTWEAR S Review,2.75,cask,,,,,,,
First Ride Coffee,Athletic Brewing,Stratford,CT,Non-Alcoholic,0.5,2019-09-29,Youtube Video: The Latte Panda Sigma is a BEAST... kinda,3.25,draft,The Growler Station,Portland,OR,US,,45.5202471,-122.6741940
Electric Dream Machine IPA,Parallel 45 Brewing,Independence,OR,IPA,7.0,2023-10-11,Youtube Video: Testing Sub $50 Space-Saving Peripherals - Blitz Review!,1.5,crowler,The Ale House,Vancouver,WA,US,,45.6306954,-122.6744557
Torpedo Imperial IPA,Sierra Nevada,Chico,CA,American-Style India Pale Ale,7.2,2023-10-05,Youtube Video: Proxmox 8.0 - PCIe Passthrough Tutorial,1.0,bottle,The Local,Eugene,OR,US,2ace68ab-73e6-4477-8682-84eac7fb246f,44.0505054,-123.0950506
Full Contact Imperial Hazy IPA,Elysian Brewing,Seattle,WA,Imperial Hazy IPA,,2023-09-30,"Youtube Video: The Rules of Building Homelab Servers, and How To Break Them - ZimaBlade 7700 Overview",2.75,can,Suds & Grub,Corvallis,OR,US,,44.5645659,-123.2620435
Eclipsosaurus IPA,Ninkasi Brewing,Eugene,OR,IPA,,2023-09-29,Youtube Video: 10Gb + 100Gb Linux-based Distribution Switch!,2.5,can,Craft Corner,Burlington,VT,US,,44.4761601,-73.2129060
Tiki Fusion Zombie IPA,Lagunitas Brewing,Petaluma,CA,IPA,,2023-09-05,Youtube Video: The OneXFly is Everything RIGHT and WRONG with Handhelds Today.,4.75,can,Craft Corner,Burlington,VT,US,,44.4761601,-73.2129060
Fort George Focus,Fort George Brewing,Astoria,OR,West Coast IPA,6.5,2021-04-09,"Youtube Video: Great Concept, Terrible Execution - YoloBox Pro Review",2.75,can,Suds & Grub,Corvallis,OR,US,,44.5645659,-123.2620435
Irish Red,Athletic Brewing,Stratford,CT,Non-Alcoholic,,2023-09-14,Youtube Video: The LARGEST 4K Monitor I've Ever Reviewed - NexiGo Aurora Pro Short Throw 4K Projector,4.75,crowler,McGinty's Pub,Seattle,WA,US,,47.6038321,-122.3300620
All That I have Learned,Adroit Theory,Purcellville,VA,Russian Imperial Stout (Maple Bourbon BA),16.66,2023-08-22,Youtube Video: Let's Install Proxmox 8.0!,2.0,growler,Foam & Froth,Hood River,OR,US,,45.5311636,-121.6475587
Game On IPA,Level Up Brewing,Portland,OR,IPA,,2023-08-01,Youtube Video: THE XBOX ONE S PC MOD IS FINISHED,4.0,growler,Level Up Brewing,Portland,OR,US,,45.5202471,-122.6741940
Twilight Summer Ale,Deschutes Brewing,Bend,OR,American-Style Pale Ale,5,2019-06-01,Youtube Video: Let's talk about Mini PCs - Xulu XR1 Pro Review,4.5,can,McGinty's Pub,Seattle,WA,US,a1a8f61c-994a-4da2-a779-eb7408726304,47.6038321,-122.3300620
Lunar Series Dark Side Stout,Silver Moon Brewing,Bend,OR,Stout,,2023-07-11,Youtube Video: 2x10-Gig and 3x2.5-Gig in the palm of your hand! - GW-R86S-U4 Server / Router review,2.25,draft,The Hop Yard,Buffalo,NY,US,,42.8864163,-78.8781493
Dank Dust 2023,Elysian Brewing,Seattle,WA,,,2023-06-20,Youtube Video: Jginyue X99 ITX Motherboard... Should you buy one?!?,4.75,cask,Elysian Brewing,Seattle,WA,US,,47.6139598,-122.3157647
